source,text,author,dateCreated,tags
,Nothing that man can present to God by way of sacrifice can ever purchase the blessing of forgiveness.,Charles Spurgeon,2014-04-11T14:40:38.620Z,"[ ""sacrifice"", ""god"" ]"
,"The truth of our Lord Jesus Christ is what is worth living for, and what is worth dying for.",W. Robert Godfrey,2014-04-11T14:44:23.666Z,"[ ""jesus"" ]"
,"If you will bear the cross, it will bear you.",Robert Murray M’Cheyne,2014-04-12T06:37:38.239Z,"[ ""cross"" ]"
,God gives the grace of forgiveness in order to receive the glory of worship.,Rhett Dodson,2014-04-12T06:38:44.631Z,"[ ""grace"", ""forgiveness"" ]"
,"People fall in private, long before they fall in public.",J.C. Ryle,2014-04-12T06:39:06.031Z,"[ ""sin"", ""humility"", ""accountability"" ]"
,He whose head is in heaven need not fear to put his feet into the grave.,Matthew Henry,2014-04-12T06:47:41.277Z,"[ ""heaven"", ""death"" ]"
,Generosity is not only about money. There is more than one currency. Let your generosity be pervasive in life.,Tim Keller,2014-04-12T07:48:23.233Z,"[ ""christian"", ""money"", ""generosity"" ]"
,"Peter did not feel very brave; indeed, he felt he was going to be sick. But that made no difference to what he had to do",C.S Lewis,2014-04-12T13:04:06.523Z,"[ ""fiction"", ""courage"" ]"
Galatians 5:23,"But the fruit of Spirit is love, joy, peace, patience, kindness, goodness, faithfulness, gentleness and self-control.",,2014-04-12T13:05:13.813Z,"[ ""galatians"", ""bible"" ]"
,Confess sin. It always helps you to see the cross of Jesus more clearly.,Ed Welch,2014-04-14T14:38:57.580Z,"[ ""sin"", ""cross"", ""christian"", ""jesus"" ]"
Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,,2014-04-14T14:40:10.623Z,"[ ""Psalm"", ""bible"" ]"
,"If you don't do any dreaming in how to reach the lost, then you don't love people.",John Piper,2014-04-14T14:41:46.241Z,"[ ""dreaming"", ""love"", ""lost"" ]"
The Weight of Glory,"It would seem that Our Lord finds our desires not too strong, but too weak. We are half-hearted creatures, fooling about with drink and sex and ambition when infinite joy is offered us, like an ignorant child who wants to go on making mud pies in a slum because he cannot imagine what is meant by the offer of a holiday at the sea. We are far too easily pleased.",C.S. Lewis,2014-04-14T14:43:27.892Z,"[ ""christian"", ""joy"" ]"
,"As long as he doesn't convert it into action, it does not matter how much a man thinks about his repentance.",C.S Lewis,2014-04-14T14:44:27.560Z,"[ ""repentance"" ]"
,The desire for even a good thing becomes a bad thing when that desire becomes a ruling thing,Paul Tripp,2014-04-16T14:32:21.743Z,"[ ""desire"" ]"
Genesis 3:19,You are dust; to dust you shall return,,2014-04-17T22:25:14.011Z,"[ ""bible"", ""genesis"" ]"
,Our temptation is to look eagerly for the minimum that will be accepted.  We are in fact very like honest but reluctant taxpayers.,C.S Lewis,2014-04-19T08:16:22.462Z,"[ ""temptation"" ]"
,"The Christian is the most contented man in the world, but he is the least contented with the world. He is like a traveler in an inn, perfectly satisfied with the inn and its accommodation, considering it as an inn, but putting quite out of all consideration the idea of making it his home.",Charles Spurgeon,2014-04-19T14:01:49.944Z,"[ ""contentment"" ]"
John 11:25-26,"Jesus said to her, “I am the resurrection and the life. The one who believes in me will live, even though they die;  and whoever lives by believing in me will never die. Do you believe this?”",,2014-04-19T22:07:02.383Z,"[ ""truth"" ]"
,"May we sit at the foot of the cross; and there learn what sin has done, what justice has done, what love has done.",John Newton,2014-04-21T12:22:26.414Z,"[ ""love"", ""cross"" ]"
,It takes courage to live through suffering; and it takes honesty to observe it.,C.S Lewis,2014-04-22T10:57:00.651Z,"[ ""suffering"", ""courage"" ]"
Psalm 90:14,"Satisfy us in the morning with your steadfast love, that we may rejoice and be glad all our days",,2014-04-22T10:58:04.898Z,"[ ""satisfaction"", ""love"" ]"
1 Corinthians 13:13,"Faith, hope, and love remain. But the greatest of these is love.",,2014-04-22T10:58:27.680Z,"[ ""love"" ]"
John 13:15-16,"I have set you an example that you should do as I have done for you. I tell you the truth, no servant is greater than his master, nor is a messenger greater than the one who sent him.",,2014-04-25T00:27:41.804Z,"[ ""humility"" ]"
Proverbs 29:25,"Proverbs 29:25 NIV

Fear of man will prove to be a snare, but whoever trusts in the Lord is kept safe.",,2014-04-27T20:58:26.290Z,"[ ""Fear"" ]"
Philippians 2:13,... for it is God who works in you to will and to act in order to fulfill his good purpose.,,2014-04-29T21:41:29.082Z,[]
,Pride makes you a predator not a person,Tim Keller,2014-04-29T22:13:12.244Z,"[ ""Pride"" ]"
,"Faith is not the absence of thinking, but it is thinking and acting on the basis of the word and promises of God.",Tim Keller,2014-04-29T22:15:15.735Z,[]
,The things you daydream about in your spare time are ultimately the things you serve.,Tim Keller,2014-05-07T13:27:27.609Z,[]
,Faith does not eliminate questions. But faith knows where to take them,Elisabeth Elliot,2014-05-21T12:02:12.360Z,[]
,The worst thing thou has to fear is the treachery of thine own heart.,C.H. Spurgeon,2014-05-31T10:39:53.466Z,[]
,To really hear the gospel is to be shaken to your core. To really hear the gospel is to change,Mark Dever,2014-10-11T00:11:34.521Z,"[ ""gospel"" ]"
,"Faith in God's promises means not always following the expected, rational path.",Tim Keller,2014-10-11T03:12:28.976Z,[]
,Joy is the marker of justified persons.,Tim Keller,2014-10-11T03:18:09.841Z,"[ """" ]"
Hebrews 4:14-16,"Therefore, since we have a great high priest who has ascended into heaven, Jesus the Son of God, let us hold firmly to the faith we profess. For we do not have a high priest who is unable to empathize with our weaknesses, but we have one who has been tempted in every way, just as we are—yet he did not sin. Let us then approach God’s throne of grace with confidence, so that we may receive mercy and find grace to help us in our time of need.",,2014-10-12T09:53:29.367Z,"[ ""Temptations"" ]"
,"Don't judge a man by where he is, because you don't know how far he has come",CS Lewis,2014-10-13T11:26:50.969Z,[]
The Glory of Christ,"It is by beholding the glory of Christ by faith that we are spiritually edified and built up in this world, for as we behold his glory, the life and power of faith grow stronger and stronger. It is by faith that we grow to love Christ. So if we desire strong faith and powerful love, which give us rest, peace and satisfaction, we must seek them diligently beholding the glory of Christ by faith. In this duty I desire to live and to die.

On Christ's glory I would fix all my thoughts and desires, and the more I see of the glory of Christ, the more the painted beauties of this world will wither in my eyes and I will be more and more crucified to this world. It will become to me like something dead and putrid, impossible for me to enjoy.",John Owen,,
